BK0001|10000001|101|SINGLE|2|2026-07-01|2026-07-02|2026-07-05|350.00|CONFIRMED
BK0002|10000002|102|DOUBLE|2|2026-07-02|2026-07-03|2026-07-06|420.00|CONFIRMED
BK0003|10000003|201|DELUXE|3|2026-07-03|2026-07-04|2026-07-07|680.00|CHECKED_IN
BK0004|10000004|202|DELUXE|2|2026-07-04|2026-07-05|2026-07-08|680.00|CONFIRMED
BK0005|10000005|301|SUITE|4|2026-07-05|2026-07-06|2026-07-09|1200.00|CONFIRMED
BK0006|10000006|302|SINGLE|1|2026-07-06|2026-07-07|2026-07-10|350.00|CHECKED_IN
BK0007|10000007|401|DOUBLE|2|2026-07-07|2026-07-08|2026-07-11|420.00|CONFIRMED
BK0008|10000008|402|DELUXE|2|2026-07-08|2026-07-09|2026-07-12|680.00|CHECKED_IN
BK0009|10000009|501|SUITE|3|2026-07-09|2026-07-10|2026-07-13|1200.00|CHECKED_OUT
BK0010|10000010|502|SINGLE|2|2026-07-10|2026-07-11|2026-07-14|350.00|CONFIRMED
